name,wins_x,losses_x,draws_x,height_cm_x,weight_in_kg_x,reach_in_cm_x,stance_x,date_of_birth_x,significant_strikes_landed_per_minute_x,significant_striking_accuracy_x,significant_strikes_absorbed_per_minute_x,significant_strike_defence_x,average_takedowns_landed_per_15_minutes_x,takedown_accuracy_x,takedown_defense_x,average_submissions_attempted_per_15_minutes_x,country,association,Win-Loss-Draw,Win %,weight_class_2
Orlando D'Ambrosio,7,7,0,177.8,77.11064,177.8,,,,,,,,,,,Italy,Team Taurus MMA,7-7-0.,0.5,Peso Meio-Médio
Matt Jones,9,9,0,180.34,85.275296,180.34,,,,,,,,,,,United States,Brazilian Top Team Texas,9-9-0.,0.5,Peso Meio-Pesado
Lenny Lovato,8,8,0,170.18,77.11064,170.18,,,,,,,,,,,United States,Jackson-Wink MMA,8-8-0.,0.5,Peso Meio-Médio
Benny Madrid,10,10,0,177.8,72.57472,177.8,,,,,,,,,,,United States,Fight Ready,10-10-0.,0.5,Peso Meio-Médio
Joshua Jones,11,11,0,172.72,70.30676,172.72,,,,,,,,,,,United States,Subfighter MMA,11-11-0.,0.5,Peso Leve
Ilias Bulaid,2,2,0,0.0,65.77083999999999,0.0,,,,,,,,,,,Morocco,Mike's Gym,2-2-0.,0.5,Peso Leve
Godofredo Castro,14,14,0,177.8,65.77083999999999,177.8,,,,,,,,,,,Brazil,Evolucao Thai,14-14-0.,0.5,Peso Leve
David Sharp,2,2,0,190.5,120.20188,190.5,,,,,,,,,,,United States,,2-2-0.,0.5,Peso Pesado
Scott Heston,8,8,0,180.34,77.11064,180.34,,,,,,,,,,,United States,,8-8-0.,0.5,Peso Meio-Médio
Curtis Dodge,0,0,0,175.26,77.11064,175.26,,,,,,,,,,,Wales,Chris Rees Academy,0-0-0.,0.0,Peso Meio-Médio
Brian Akins,1,1,0,185.42,72.57472,185.42,,,,,,,,,,,United States,,1-1-0.,0.5,Peso Meio-Médio
Sua Tuani,3,3,0,0.0,92.98636,0.0,,,,,,,,,,,United States,Six Feet Under MMA Fight Team,3-3-0.,0.5,Peso Meio-Pesado
Abrou Fernandes,9,9,0,175.26,65.77083999999999,175.26,,,,,,,,,,,Indonesia,Hans Academy,9-9-0.,0.5,Peso Leve
Kyle Miers,1,1,0,0.0,70.30676,0.0,,,,,,,,,,,United States,,1-1-0.,0.5,Peso Leve
Peng Hua Zhang,2,2,0,0.0,65.77083999999999,0.0,,,,,,,,,,,China,AKA Thailand,2-2-0.,0.5,Peso Leve
Stefer Rahardian,9,9,0,0.0,61.23492,0.0,,,,,,,,,,,Indonesia,Synergy,9-9-0.,0.5,Peso Galo
Benedict Ang,3,3,0,175.26,65.77083999999999,175.26,,,,,,,,,,,Singapore,Evolve MMA,3-3-0.,0.5,Peso Leve
Courtney Martin,0,0,0,165.1,56.699,165.1,,,,,,,,,,,Australia,Wolves Den Perth,0-0-0.,0.0,Peso Mosca
Kona Oliveira,1,1,0,185.42,83.91452,185.42,,,,,,,,,,,United States,Black House MMA,1-1-0.,0.5,Peso Médio
Chris Daniel,1,1,0,0.0,56.699,0.0,,,,,,,,,,,United States,,1-1-0.,0.5,Peso Mosca
Yahir Reyes,14,14,0,172.72,65.77083999999999,172.72,,,,,,,,,,,Mexico,Reyes Gym,14-14-0.,0.5,Peso Leve
Koji Shikuwa,6,6,0,175.26,83.460928,175.26,,,,,,,,,,,Japan,Legion Top Team,6-6-0.,0.5,Peso Médio
Saw Llay,1,1,0,170.18,70.30676,170.18,,,,,,,,,,,Myanmar,Htaw Mae Par,1-1-0.,0.5,Peso Leve
Mickael Bucher,3,3,0,180.34,77.11064,180.34,,,,,,,,,,,France,Platinium Hybrid Training Center,3-3-0.,0.5,Peso Meio-Médio
Kevin Carrier,1,1,0,0.0,70.30676,0.0,,,,,,,,,,,United States,Ultimate Athletics,1-1-0.,0.5,Peso Leve
Zac Cooper,4,4,0,172.72,61.23492,172.72,,,,,,,,,,,United States,Hardcore Gym,4-4-0.,0.5,Peso Galo
Ritu Phogat,5,5,0,154.94,52.16308,154.94,,,,,,,,,,,India,Evolve MMA,5-5-0.,0.5,Peso Mosca
Anthony Dizy,13,13,0,170.18,65.77083999999999,170.18,,,,,,,,,,,France,ETTReims,13-13-0.,0.5,Peso Leve
Ion Pascu,20,20,0,175.26,77.11064,175.26,,,,,,,,,,,Romania,SBG Ireland,20-20-0.,0.5,Peso Meio-Médio
Gustavo Wurlitzer,23,23,0,175.26,65.77083999999999,175.26,,,,,,,,,,,Brazil,Immortal Fight Team,23-23-0.,0.5,Peso Leve
Ai Shimizu,5,5,0,154.94,48.534344,154.94,,,,,,,,,,,Japan,Krazy Bee,5-5-0.,0.5,Peso Palha
Anita Karim,2,2,0,0.0,52.16308,0.0,,,,,,,,,,,Pakistan,Team Fight Fortress,2-2-0.,0.5,Peso Mosca
Nayeb Hezam,17,17,0,167.64000000000001,65.77083999999999,167.64000000000001,,,,,,,,,,,France,Atch Academy,17-17-0.,0.5,Peso Leve
Hracho Darpinyan,17,17,0,177.8,83.91452,177.8,,,,,,,,,,,Armenia,Team Schrijber,17-17-0.,0.5,Peso Médio
Kai Kamaka III,8,8,0,170.18,65.77083999999999,170.18,,,,,,,,,,,United States,808 Fight Factory,8-8-0.,0.5,Peso Leve
Lisa Blaine,2,2,0,167.64000000000001,56.699,167.64000000000001,,,,,,,,,,,United States,Speed School MMA,2-2-0.,0.5,Peso Mosca
Amber Leibrock,4,4,0,180.34,66.224432,180.34,,,,,,,,,,,United States,Combat Sports Academy,4-4-0.,0.5,Peso Leve
Antonio Carlos Jr.,11,11,0,187.96,83.91452,187.96,,,,,,,,,,,Brazil,American Top Team,11-11-0.,0.5,Peso Médio
Rick Hawn,21,21,0,175.26,72.57472,175.26,,,,,,,,,,,United States,Professional Martial Arts,21-21-0.,0.5,Peso Meio-Médio
Tom Regal,2,2,0,182.88,83.91452,182.88,,,,,,,,,,,United States,Spa City BJJ,2-2-0.,0.5,Peso Médio
Dave Vitkay,18,18,0,182.88,77.11064,182.88,,,,,,,,,,,United States,Knuckle Up,18-18-0.,0.5,Peso Meio-Médio
